epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2613.47,1.31141,0.7012,0.91259,0.87944,0.60428,0.70061,0.26435,1.82047,0.86531,0.96102,0.0011642,0.0011642,0.0011642
44,2669.89,1.30334,0.66123,0.92878,0.88914,0.64333,0.74376,0.38,1.51853,0.72196,0.92252,0.0011443,0.0011443,0.0011443
45,2727.94,1.31927,0.69121,0.92336,0.87799,0.65421,0.73667,0.33098,1.69739,0.813,0.96036,0.0011244,0.0011244,0.0011244
46,2784.21,1.31961,0.66239,0.9395,0.88407,0.6738,0.75602,0.39584,1.51178,0.74908,0.91482,0.0011045,0.0011045,0.0011045
47,2853.58,1.27144,0.65309,0.92667,0.81541,0.68508,0.75097,0.38313,1.54599,0.78259,0.92507,0.0010846,0.0010846,0.0010846
48,2914.22,1.26402,0.62899,0.9244,0.83686,0.64171,0.72832,0.35616,1.58569,0.81631,0.92307,0.0010647,0.0010647,0.0010647
49,2973.89,1.31143,0.67093,0.92963,0.8347,0.72908,0.77619,0.415,1.46796,0.72763,0.89765,0.0010448,0.0010448,0.0010448
50,3041.73,1.29133,0.69401,0.93037,0.82786,0.68984,0.75852,0.40979,1.48085,0.73329,0.90532,0.0010249,0.0010249,0.0010249
51,3098.57,1.28371,0.6781,0.91452,0.8782,0.66845,0.75703,0.37449,1.57408,0.74896,0.93395,0.001005,0.001005,0.001005
52,3155.3,1.27283,0.63958,0.92919,0.88239,0.6631,0.76554,0.38525,1.51388,0.76272,0.91256,0.0009851,0.0009851,0.0009851
53,3212.16,1.26413,0.63577,0.91787,0.81916,0.65405,0.73059,0.33953,1.76331,0.82491,0.98181,0.0009652,0.0009652,0.0009652
54,3267.7,1.28181,0.65154,0.91265,0.82067,0.70588,0.76564,0.39325,1.4928,0.76187,0.9086,0.0009453,0.0009453,0.0009453
55,3325.14,1.28065,0.65674,0.90742,0.74804,0.6668,0.70351,0.3163,1.68504,0.89889,0.94714,0.0009254,0.0009254,0.0009254
